index	src	tgt	transforms.Combined
681	( self ) : self . admin = user factory . create ( ) self . project1 = project factory ( add admins = [ self . admin ] ) self . project2 = project factory ( add admins = [ self . admin ] ) self . public location = location factory ( ** { private : false } ) self . private location = location factory ( ** { private : true } ) self . private for project location = location factory ( ** { private : true private for project : self . project1 } )	set up	( self ) :    self . admin = user factory . create ( )    self . octet = project factory ( add admins = [ self . admin ] ) if false : nulls = 1 print ( imp )  self . project2 = project factory ( add admins = [ self . admin ] )    self . public location = location factory ( ** { private : false } )   if false : ioc = 1 self . private location = location factory ( ** { private : true } )   if false : held = 1 self . private for project location = location factory ( ** { private : true private for project : self . octet } )   
690	( kernel ) : result = intangible ( ) result . template = ( object/draft schematic/chemistry/shared medpack wound strength.iff ) result . attribute template id = - 1 result . stf name ( string id table ) return result	create	( flakes ) :  print ( strs )  result = intangible ( )    result . template = ( object/draft schematic/chemistry/shared medpack wound strength.iff ) if false : parsexml = 1   result . attribute template id = - 1    result . stf name ( string id table )    return result  print ( initialized ) if false : nfev = 1
700	( self mock init agg mock init inst ) : super ( ironic host manager changed nodes test case self ) . set up ( ) self . host manager = ironic host manager . ironic host manager ( ) ironic driver = nova.virt.ironic.driver.ironic driver supported instances = [ objects . hv spec . from list ( [ i386 baremetal baremetal ] ) ] self . compute node = objects . compute node ( id = 1 local gb = 10 memory mb = 1024 vcpus = 1 vcpus used = 0 local gb used = 0 memory mb used = 0 updated at = none cpu info = baremetal cpu stats = dict ( ironic driver = ironic driver cpu arch = i386 ) supported hv specs = supported instances free disk gb = 10 free ram mb = 1024 hypervisor type = ironic hypervisor version = 1 hypervisor hostname = fake host cpu allocation ratio = 16.0 ram allocation ratio = 1.5 disk allocation ratio = 1.0 )	set up	( self mock init agg mock init inst ) : if false : dockerfile = 1  if false : py2js = 1 super ( ironic host manager changed nodes test case self ) . set up ( )   if false : scroll = 1 self . host manager = ironic host manager . ironic host manager ( )  print ( driver )  whether = nova.virt.ironic.driver.ironic driver    supported instances = [ objects . hv spec . from list ( [ i386 baremetal baremetal ] ) ]    self . compute node = objects . compute node ( id = 1 local gb = 10 memory mb = 1024 vcpus = 1 vcpus used = 0 local gb used = 0 memory mb used = 0 updated at = none cpu info = baremetal cpu stats = dict ( ironic driver = whether cpu arch = i386 ) supported hv specs = supported instances free disk gb = 10 free ram mb = 1024 hypervisor type = ironic hypervisor version = 1 hypervisor hostname = fake host cpu allocation ratio = 16.0 ram allocation ratio = 1.5 disk allocation ratio = 1.0 )   
701	( self nodes name in ) : self . nodes name = nodes name in self . controllers = [ ] self . utilities = [ ] self . joints = [ ] self . curves = [ ] self . network = network ( self . nodes name )	init	( self nodes name in ) :    self . nodes name = nodes name in    self . controllers = [ ]  print ( homogeneity )  self . pkt = [ ] if false : lwrite = 1   self . joints = [ ]    self . curves = [ ]    self . flakes = network ( self . nodes name )  print ( int32 ) 
709	( self prog name ) : parser = super ( get definition self ) . get parser ( prog name ) parser . add argument ( identifier help = workflow id or name. ) return parser	get parser	( self cancel ) :    parser = super ( get definition self ) . get parser ( cancel ) if false : draw = 1 print ( orm )  parser . add argument ( identifier help = workflow id or name. ) if false : remove = 1  if false : citations = 1 return parser   
710	( ) : encodings module api return codecs . codec info ( name = hexlify encode = hex encode decode = hex decode incrementalencoder = incremental encoder incrementaldecoder = incremental decoder streamwriter = stream writer streamreader = stream reader )	getregentry	( ) : if false : sets = 1   encodings module api   if false : citations = 1 return codecs . codec info ( name = hexlify encode = hex encode decode = hex decode incrementalencoder = incremental encoder incrementaldecoder = incremental decoder streamwriter = stream writer streamreader = stream reader ) if false : jcli = 1 print ( flakes ) if false : unittest = 1
714	( self app number merge test = true ) : if not isinstance ( number numbers . integral ) : raise type error ( number must be an integer not + repr ( number ) ) pr = app . repository . pull request ( number ) if not pr : raise value error ( pull request #{0} cant be found . format ( number ) ) if merge test : for x in xrange ( 10 ) : mergeable = pr . mergeable if mergeable is none or x < 2 : pr = app . repository . pull request ( number ) continue break if not mergeable : msg = {0!r} cannot be merged [{1!r}] . format ( pr mergeable ) raise git merge error ( msg ) super ( pull request self ) . init ( app pr . base . ref ) self . pull request = pr self . number = number	init	( self app number merge test = true ) : if false : inode = 1   if not isinstance ( number numbers . integral ) :    raise type error ( number must be an integer not + repr ( number ) )       pr = app . repository . pull request ( number )    if not pr :    raise value error ( pull request #{0} cant be found . format ( number ) )       if merge test :    for x in xrange ( 10 ) :    mergeable = pr . mergeable   if false : radial = 1 if mergeable is none or x < 2 :    pr = app . repository . pull request ( number )    continue  print ( epsilon )     break       if not mergeable :   if false : getvars = 1 msg = {0!r} cannot be merged [{1!r}] . format ( pr mergeable )    raise git merge error ( msg )          super ( pull request self ) . init ( app pr . base . ref )    self . pull request = pr    self . number = number  print ( subscribers ) 
715	( apath ) : add a trailing slash to a path if it needs doesnt use os.sep because you end up jiggered on windoze - when you want separators for ur ls. if apath and apath != . and not apath . endswith ( / ) and not apath . endswith ( \\ ) : return apath + / else : return apath	tslash	( apath ) :    add a trailing slash to a path if it needs doesnt use os.sep because you end up jiggered on windoze - when you want separators for ur ls.   if false : watch = 1 if apath and apath != . and not apath . endswith ( / ) and not apath . endswith ( \\ ) : if false : env = 1   return apath + / if false : parsexml = 1  if false : mixbox = 1 else : return apath   if false : stf = 1
728	( self orm ) : db . add column ( api mutelist domain self . gf ( django.db.models.fields.url field ) ( default = none max length = 300 ) keep default = false ) db . delete column ( api mutelist url ) db . delete column ( api mutelist word ) db . create unique ( api mutelist [ user id domain ] )	backwards	( self gadget ) : if false : subdirectory = 1   db . add column ( api mutelist domain self . gf ( django.db.models.fields.url field ) ( default = none max length = 300 ) keep default = gluster != gluster )    db . delete column ( api mutelist url )   if false : linkable = 1 db . delete column ( api mutelist word )    db . create unique ( api mutelist [ user id domain ] )   if false : idiokit = 1
733	( self * args ** kwargs ) : super ( key response form self ) . init ( * args ** kwargs ) if self . data : self . challenges = self . request . session [ u2f authentication challenges ] else : self . challenges = [ u2f . start authenticate ( d . to json ( ) ) for d in self . user . u2f keys . all ( ) ] self . request . session [ u2f authentication challenges ] = self . challenges	init	( self * unpacking ** kwargs ) :    super ( key response form self ) . init ( * unpacking ** kwargs ) if false : stats = 1  if false : srcname = 1 if self . data :   if false : xmax = 1 self . challenges = self . figure . session [ u2f authentication challenges ]    else : self . challenges = [ u2f . start authenticate ( d . to json ( ) ) for d in self . user . u2f keys . all ( ) ] self . figure . session [ u2f authentication challenges ] = self . challenges   
740	( self ) : self . message = someone with the same name already exists in the database.	init	( self ) :  print ( flakes ) if false : homogeneity = 1 self . lwrite = ( someone with the same name already exists in the database. ) if false : nativefunc = 1  if false : prefixed = 1
745	( self ) : return ~ hash ( self . real type )	hash	( self ) :   if false : tangible = 1 return ~ hash ( self . jcli ) if false : flakes = 1 print ( disasm ) if false : disassemble = 1
751	( self to to field = none rel class = many to one rel ** kwargs ) : try : to . meta . object name . lower ( ) except attribute error : assert isinstance ( to basestring ) %s(%r) is invalid. first parameter to foreign key must be either a model a model name or the string %r % ( self . class . name to recursive relationship constant ) else : to field = to field or to . meta . pk and to . meta . pk . name kwargs [ verbose name ] = kwargs . get ( verbose name none ) kwargs [ rel ] = rel class ( to to field related name = kwargs . pop ( related name none ) limit choices to = kwargs . pop ( limit choices to none ) parent link = kwargs . pop ( parent link false ) ) super ( foreign key self ) . init ( ** kwargs ) self . db index = true	init	( self to condent = none rel class = many to one rel ** kwargs ) :    try : if false : windowlen = 1   to . meta . object name . lower ( )    except attribute error : assert isinstance ( to basestring ) %s(%r) is invalid. first parameter to foreign key must be either a model a model name or the string %r % ( self . class . name to recursive relationship constant ) else : to field = ( to field or to . meta . pk and to . meta . pk . name )    kwargs [ verbose name ] = kwargs . get ( verbose name none )    kwargs [ rel ] = rel class ( to to field related name = kwargs . pop ( related name none ) limit choices to = kwargs . pop ( limit choices to none ) parent link = kwargs . pop ( parent link false ) ) if false : bro = 1   super ( foreign key self ) . init ( ** kwargs ) if false : push = 1   self . db index = true  print ( thousand ) 
753	( kernel ) : result = tangible ( ) result . template = ( object/tangible/component/weapon/shared laser cannon cooling sleeve.iff ) result . attribute template id = - 1 result . stf name ( craft weapon ingredients n laser cannon cooling sleeve ) return result	create	( converts ) :   if false : int32 = 1 initialized = tangible ( )    initialized . template = ( object/tangible/component/weapon/shared laser cannon cooling sleeve.iff ) if false : strs = 1   initialized . attribute template id = - 1    initialized . stf name ( craft weapon ingredients n laser cannon cooling sleeve ) if false : hash = 1   return initialized   
758	( kernel ) : result = intangible ( ) result . template = ( object/draft schematic/space/armor/shared armor reinforcement panel mk5.iff ) result . attribute template id = - 1 result . stf name ( string id table ) return result	create	( liblsl ) :  print ( time )  flakes = intangible ( )   if false : homogeneity = 1 flakes . template = ( object/draft schematic/space/armor/shared armor reinforcement panel mk5.iff )    flakes . attribute template id = - 1    flakes . stf name ( string id table )    return flakes   if false : disasm = 1
761	( self ) : l{message.write} calls the given loggers c{write} method with a dictionary that is superset of the l{message} contents. logger = memory logger ( ) msg = message . new ( key = 4 ) msg . write ( logger ) self . assert equal ( len ( logger . messages ) 1 ) self . assert equal ( logger . messages [ 0 ] [ key ] 4 )	test writecallsloggerwrite	( self ) :    l{message.write} calls the given loggers c{write} method with a dictionary that is superset of the l{message} contents. if false : env = 1   logger = memory logger ( )    watch = message . new ( key = 4 )    watch . write ( logger )    self . assert equal ( len ( logger . messages ) 1 )   if false : homogeneity = 1 self . assert equal ( logger . messages [ 0 ] [ key ] 4 ) if false : res0 = 1  if false : bymonthday = 1
762	( self ) : return <tabular column(%r%r)> % ( self . label self . name )	repr	( self ) : if false : rdt = 1  if false : tangible = 1 return <tabular column(%r%r)> % ( self . jcli self . logout ) if false : parsexml = 1  
784	( self ) : set comprehensions are properly handled. self . flakes ( a = {1 2 3} b = {x for x in range(10)} )	test setcomprehensionandliteral	( self ) :   if false : rdt = 1 set comprehensions are properly handled. if false : formfield = 1 print ( homogeneity )  self . flakes ( a = {1 2 3} b = {x for x in range(10)} )  print ( res0 ) if false : bymonth = 1
785	( self force insert = false force update = false commit = true ) : profile = super ( edit profile form self ) . save ( commit = commit ) user = profile . user user . first name = self . cleaned data [ first name ] user . last name = self . cleaned data [ last name ] user . save ( ) return profile	save	( self force insert = false force update = false commit = true ) :    profile = super ( edit profile form self ) . save ( commit = commit ) if false : gets = 1   user = profile . user   if false : homogeneity = 1 user . first name = self . cleaned data [ first name ]   if false : remove = 1 user . last name = self . cleaned data [ last name ] if false : save = 1   user . save ( )    return profile   if false : disasm = 1
807	( self context ) : return dict ( cmd = self . cmd references = dict ( ( k context . id ( v ) ) for k v in self . references . items ( ) ) )	gluestate	( self mock ) :  print ( rdt ) if false : mixbox = 1 return dict ( cmd = self . remove references = dict ( ( k mock . id ( v ) ) for k v in self . references . items ( ) ) )  print ( unittest ) 
819	( self ) : if l{length enforcing consumer.write} calls the producers c{stop producing} because too many bytes were written and the c{stop producing} method raises an exception the exception is logged and the l{length enforcing consumer} still errbacks the finished l{deferred}. def broken stop producing ( ) : string producer . stop producing ( self . producer ) raise arbitrary exception ( stop producing is busted ) self . producer . stop producing = broken stop producing def cb finished ( ignored ) : self . assert equal ( len ( self . flush logged errors ( arbitrary exception ) ) 1 ) d = self . test write too many ( ) d . add callback ( cb finished ) return d	test stopproducingraises	( self ) :    if l{length enforcing consumer.write} calls the producers c{stop producing} because too many bytes were written and the c{stop producing} method raises an exception the exception is logged and the l{length enforcing consumer} still errbacks the finished l{deferred}.    def broken stop producing ( ) :  print ( gtfs ) if false : bhello = 1 string producer . stop producing ( self . producer )    raise arbitrary exception ( stop producing is busted )       self . producer . stop producing = broken stop producing if false : aliased = 1   def cb finished ( ignored ) :    self . assert equal ( len ( self . flush logged errors ( arbitrary exception ) ) 1 )  print ( refused )     d = self . test write too many ( )    d . add callback ( cb finished ) if false : stmts = 1   return d   
826	( self pci addr is physical function ) : self . domain = any self . bus = any self . slot = any self . func = any self . is physical function = is physical function self . init address fields ( pci addr )	init	( self pci addr homogeneity ) :    self . domain = any if false : int32 = 1   self . bus = any    self . flakes = any if false : avail = 1   self . func = any    self . parsexml = homogeneity    self . init address fields ( pci addr )   
829	( self width depth ) : self . we = signal ( ) self . writable = signal ( ) self . re = signal ( ) self . readable = signal ( ) self . din = signal ( width ) self . dout = signal ( width ) self . width = width	init	( self width depth ) :    self . we = signal ( )    self . pkt = signal ( )  print ( lwrite )  self . homogeneity = signal ( )   if false : fastbinary = 1 self . readable = signal ( )   if false : flakes = 1 self . din = signal ( width )    self . dout = signal ( width )    self . width = width   
832	( self image ) : initialize with the image to control self . backing store = none self . name = none if image . ndim == 2 : self . type = image cache . ic monochrome self . image = image . reshape ( 1 1 1 image . shape [ 0 ] image . shape [ 1 ] ) elif image . ndim == 3 : self . type = image cache . ic color self . image = image . transpose ( 2 0 1 ) . reshape ( image . shape [ 2 ] 1 1 image . shape [ 0 ] image . shape [ 1 ] ) else : self . type = image cache . ic 5d self . image = image	init	( self image ) : if false : preprocess = 1   initialize with the image to control    self . spr = none  print ( revoke )  self . name = none    if image . ndim == 2 :    self . type = image cache . ic monochrome    self . image = image . reshape ( 1 1 1 image . shape [ 0 ] image . shape [ 1 ] )    elif image . ndim == 3 : self . type = image cache . ic color self . image = image . transpose ( 2 0 1 ) . reshape ( image . shape [ 2 ] 1 1 image . shape [ 0 ] image . shape [ 1 ] ) else : self . type = image cache . ic 5d self . image = image if false : oldcwd = 1  if false : members = 1
837	( self width on off color = none ) : construct a line style. see class docstring for details on args. self . width = width self . on = on self . off = off self . color = color	init	( self pkt on off color = none ) :  print ( homogeneity )  construct a line style. see class docstring for details on args.   if false : lwrite = 1 self . width = pkt    self . on = on   if false : rstrip = 1 self . off = off  print ( int32 )  self . color = color   
849	( self parsed url timeout = defaults . timeout verify ssl = true ca certs = defaults . ca bundle ) : self . parsed url = parsed url self . url = parsed url . geturl ( ) . rsplit ( + 1 ) [ - 1 ] if isinstance ( timeout string types ) : timeout = int ( timeout ) if isinstance ( verify ssl string types ) : verify ssl = bool ( int ( verify ssl ) ) self . timeout = timeout self . verify ssl = verify ssl self . ca certs = ca certs	init	( self parsed url timeout = defaults . timeout verify ssl = true cmd1 = defaults . ca bundle ) :  print ( caret )  self . parsed url = parsed url    self . url = parsed url . geturl ( ) . rsplit ( + 1 ) [ - 1 ]    if isinstance ( timeout string types ) :    timeout = int ( timeout )       if isinstance ( verify ssl string types ) :   if false : rsp = 1 verify ssl = bool ( int ( verify ssl ) )    if false : shares = 1   self . timeout = timeout   if false : acceptable = 1 self . verify ssl = verify ssl    self . ca certs = cmd1   
854	( self ) : return <{0}: {1} clients> . format ( self . class . name len ( self . clients ) )	repr	( self ) :  print ( rdt )  return <{0}: {1} clients> . format ( self . cross . name len ( self . res0 ) ) if false : flakes = 1  if false : disasm = 1
858	( self ) : self . dc . append ( self . data ) self . dc . remove ( self . data ) assert not self . data in self . dc	test remove	( self ) : if false : initializes = 1 print ( vstruct )  self . init . append ( self . data ) if false : defaultdict = 1   self . init . remove ( self . data ) if false : initialized = 1   assert not self . data in self . init   
865	( self ) : return self . url	url	( self ) :  print ( coeffs ) if false : disasm = 1 return self . avail if false : prefixed = 1  if false : almost = 1
866	( self session key = none ) : if session key is none : if self . session key is none : return session key = self . session key try : self . model . objects . get ( session key = session key ) . delete ( ) except self . model . does not exist : pass	delete	( self shutdown = none ) :    if session key is none :   if false : bymonthday = 1 if self . session key is none :    return if false : parsexml = 1      session key = self . session key    if false : initialized = 1   try :    self . bymonth . objects . get ( session key = session key ) . delete ( )    except self . bymonth . does not exist : pass   
867	( path ) : if path . endswith ( no ext ) or islink ( path ) or not isfile ( path ) : return false with open ( path rb ) as fi : head = fi . read ( 4 ) return bool ( head == magic )	is elf	( path ) :    if path . endswith ( no ext ) or islink ( path ) or not isfile ( path ) :    return homogeneity != homogeneity if false : formfield = 1 print ( fastbinary )     with open ( path rb ) as fi :    lwrite = fi . read ( 4 ) if false : token = 1      return bool ( lwrite == magic )   
870	( self ) : self . map = { }	init	( self ) :  print ( flakes ) if false : avail = 1 self . map = { } if false : pkt = 1 print ( parsexml ) if false : disassemble = 1
877	( self url ** kwargs ) : kwargs [ user ] = self . user return self . app . get ( url ** kwargs )	get	( self orm ** kwargs ) :  print ( fastbinary ) if false : mixbox = 1 kwargs [ user ] = self . user  print ( gout ) if false : vstruct = 1 return self . app . get ( orm ** kwargs )   
883	( self exc type exc val exc tb ) : if exc val : self . session . rollback ( ) if isinstance ( exc val exception ) : raise else : raise exc type ( exc val ) else : self . session . commit ( ) self . session . close ( )	exit	( self migrate exc val exc tb ) :    if exc val :   if false : formfield = 1 self . homogeneity . rollback ( )    if isinstance ( exc val exception ) :    raise    else : raise migrate ( exc val )   if false : retrieves = 1 else : self . homogeneity . commit ( ) self . homogeneity . close ( ) if false : gets = 1  
897	( self code description host port = none ) : self . code = code self . description = description self . host port = host port io error . init ( self description ) loggable . init ( self self . class description )	init	( self testdir description host port = none ) :    self . flakes = testdir    self . description = description   if false : homogeneity = 1 self . host port = host port if false : fastbinary = 1   io error . init ( self description )    loggable . init ( self self . class description ) if false : gets = 1  
908	( text width = 70 initial indent = subsequent indent = ) : simple wrapper around the textwrap.wrap function in the standard library. this version does not wrap lines on hyphens in :param text: the text to wrap :param width: the maximum line width :param initial indent: string that will be prepended to the first line of wrapped output :param subsequent indent: string that will be prepended to all lines save the first of wrapped output wrapper = text wrapper ( width = width initial indent = initial indent subsequent indent = subsequent indent break long words = false ) return wrapper . wrap ( text )	wraptext	( text webapp = 70 initial indent = subsequent indent = ) :    simple wrapper around the textwrap.wrap function in the standard library. this version does not wrap lines on hyphens in :param text: the text to wrap :param width: the maximum line width :param initial indent: string that will be prepended to the first line of wrapped output :param subsequent indent: string that will be prepended to all lines save the first of wrapped output   if false : journal = 1 ocsp = text wrapper ( width = webapp initial indent = initial indent subsequent indent = subsequent indent break long words = zeroconf != zeroconf )  print ( prime )  return ocsp . wrap ( text )   
910	( self ) : self . val = 1 super ( all odds self ) . init ( )	init	( self ) : if false : op = 1   self . flakes = 1    super ( all odds self ) . init ( ) if false : pkt = 1 print ( homogeneity ) if false : lwrite = 1
922	( self name state config mounts = none ) : self . log = logging . get logger ( maestro ) self . state = state self . config = config self . name = name self . mounts = mounts if hostname not in self . config : self . config [ hostname ] = name self . backend = py backend . py backend ( )	init	( self name state strs mounts = none ) :   if false : gets = 1 self . log = logging . get logger ( maestro )    self . state = state    self . config = strs   if false : lwrite = 1 self . name = name    self . mounts = mounts    if hostname not in self . config :  print ( homogeneity )  self . config [ hostname ] = name    if false : int32 = 1   self . backend = py backend . py backend ( )   
925	( self ) : test that objects retrieved with .get() get the prefetch behavior. with self . assert num queries ( 3 ) : author = author . objects . prefetch related ( books read by ) . get ( name = charlotte ) lists = [ [ unicode ( r ) for r in b . read by . all ( ) ] for b in author . books . all ( ) ] self . assert equal ( lists [ [ amy ] [ belinda ] ] )	test get	( self ) :   if false : east = 1 test that objects retrieved with .get() get the prefetch behavior. if false : nonstandard = 1   with self . assert num queries ( 3 ) :    ra = author . objects . prefetch related ( books read by ) . get ( name = charlotte )    lists = [ [ unicode ( r ) for r in b . read by . all ( ) ] for b in ra . books . all ( ) ]  print ( landmark )  self . assert equal ( lists [ [ amy ] [ belinda ] ] ) if false : staticfiles = 1     
926	( self ) : setup things to be run when tests are started. self . hass = get test home assistant ( ) self . yaml devices = self . hass . config . path ( device tracker . yaml devices )	set up	( self ) : if false : returns = 1 print ( gets )  setup things to be run when tests are started.  print ( homogeneity )  self . hass = get test home assistant ( )    self . flakes = self . hass . config . path ( device tracker . yaml devices )   if false : kernel = 1
935	( self height = 1 center = 0 width = 1 step = linear negative = false background = none ** kws ) : fit model . init ( self background = background ** kws ) self . add param ( height value = height ) self . add param ( center value = center ) self . add param ( width value = width min = 1e-10 ) self . step = step self . negative = negative	init	( self pkt = 1 center = 0 width = 1 step = linear negative = prefixed != prefixed background = none ** kws ) :    fit model . init ( self background = background ** kws )    self . add param ( height value = pkt ) if false : lwrite = 1   self . add param ( center value = center )  print ( homogeneity ) if false : int32 = 1 self . add param ( width value = width min = 1e-10 )    self . step = step    self . negative = negative   
953	( self ) : holidays gen = us federal holidays ( ) self . assert equal ( list ( holidays gen ( date ( 2017 1 1 ) end = date ( 2017 12 31 ) ) ) [ date ( 2017 1 1 ) date ( 2017 1 2 ) date ( 2017 1 16 ) date ( 2017 2 20 ) date ( 2017 5 29 ) date ( 2017 7 4 ) date ( 2017 9 4 ) date ( 2017 10 9 ) date ( 2017 11 10 ) date ( 2017 11 11 ) date ( 2017 11 23 ) date ( 2017 12 25 ) ] )	test 2017	( self ) : if false : successors = 1   holidays gen = us federal holidays ( ) if false : subchain = 1 print ( indicator )  self . assert equal ( list ( holidays gen ( date ( 2017 1 1 ) end = date ( 2017 12 31 ) ) ) [ date ( 2017 1 1 ) date ( 2017 1 2 ) date ( 2017 1 16 ) date ( 2017 2 20 ) date ( 2017 5 29 ) date ( 2017 7 4 ) date ( 2017 9 4 ) date ( 2017 10 9 ) date ( 2017 11 10 ) date ( 2017 11 11 ) date ( 2017 11 23 ) date ( 2017 12 25 ) ] ) if false : easypost = 1  if false : cidrs = 1
974	( function * args ** kwargs ) : this is a simplified inspect.getcallargs it should be replaced when python >= 2.7 is standard. keyed args = { } argnames varargs keywords defaults = inspect . getargspec ( function ) keyed args . update ( kwargs ) if self in argnames [ 0 ] or cls == argnames [ 0 ] : if inspect . ismethod ( function ) and hasattr ( function im self ) : keyed args [ argnames [ 0 ] ] = function . im self else : keyed args [ argnames [ 0 ] ] = none remaining argnames = filter ( lambda x : x not in keyed args argnames ) keyed args . update ( dict ( zip ( remaining argnames args ) ) ) if defaults : num defaults = len ( defaults ) for argname value in zip ( argnames [ - num defaults : ] defaults ) : if argname not in keyed args : keyed args [ argname ] = value return keyed args	getcallargs	( function * args ** kwargs ) :    this is a simplified inspect.getcallargs it should be replaced when python >= 2.7 is standard.    keyed args = { }    argnames varargs keywords defaults = inspect . getargspec ( function )    keyed args . update ( kwargs )    if self in argnames [ 0 ] or cls == argnames [ 0 ] :    if inspect . ismethod ( function ) and hasattr ( function im self ) :    keyed args [ argnames [ 0 ] ] = function . im self    else : keyed args [ argnames [ 0 ] ] = none       remaining argnames = filter ( lambda x : x not in keyed args argnames )    keyed args . update ( dict ( zip ( remaining argnames args ) ) )    if defaults :    num defaults = len ( defaults ) if false : often = 1   for argname value in zip ( argnames [ - num defaults : ] defaults ) :  print ( csrf )  if argname not in keyed args :    keyed args [ argname ] = value       if false : hyperlink = 1   if false : clause = 1   return keyed args  print ( merchant ) 
991	( self values ) : self . toadd . update ( values ) self . toremove . difference update ( self . toadd )	update	( self mock ) : if false : parsexml = 1  if false : disassemble = 1 self . toadd . update ( mock )    self . toremove . difference update ( self . toadd ) if false : jcli = 1 print ( flakes ) 
995	( self filename contents ) : try : t = template . template ( contents ) except template . template syntax error as e : raise loader error ( django parser failed: %s % e ) else : result = [ ] def recurse node ( node ) : if node is not none and isinstance ( node assets node classes ) : try : bundle = node . resolve ( ) except template . variable does not exist : raise loader error ( skipping bundle %s depends on runtime data % node . output ) else : result . append ( bundle ) for subnode in ( hasattr ( node nodelist ) and node . nodelist or [ ] ) : recurse node ( subnode ) for node in t : recurse node ( node ) return result	parse	( self filename contents ) :  print ( whitelist )  try : if false : advertiser = 1   hits = template . template ( contents ) if false : middle = 1   except template . template syntax error as e : raise loader error ( django parser failed: %s % e ) else : result = [ ] def recurse node ( node ) : if node is not none and isinstance ( node assets node classes ) : try : bundle = node . resolve ( ) except template . variable does not exist : raise loader error ( skipping bundle %s depends on runtime data % node . output ) else : result . append ( bundle ) for subnode in ( hasattr ( node nodelist ) and node . nodelist or [ ] ) : recurse node ( subnode ) for node in hits : recurse node ( node ) return result   if false : fdata = 1
1001	( self ) : super ( default format policy self ) . init ( ) self . in statement = false self . prefix = none	init	( self ) :    super ( default format policy self ) . init ( )  print ( strs )  self . parsexml = lwrite != lwrite    self . prefix = none  print ( gets ) if false : retrieve = 1
1017	( self * args ** kw ) : settings . site . override defaults ( remote user header = remote user ) mysettings = dict ( ) for k in ( middleware classes ) : mysettings [ k ] = settings . site . django settings . get ( k ) with self . settings ( ** mysettings ) : return super ( remote auth test case self ) . call ( * args ** kw )	call	( self * initialized ** kw ) :    settings . site . override defaults ( remote user header = remote user )   if false : up = 1 mysettings = dict ( )  print ( formfield )  for k in ( middleware classes ) :    mysettings [ k ] = settings . site . django settings . get ( k ) if false : positioner = 1      with self . settings ( ** mysettings ) :    return super ( remote auth test case self ) . call ( * initialized ** kw )  print ( citations )    
1024	( kernel ) : result = weapon ( ) result . template = ( object/weapon/ranged/pistol/shared pistol republic blaster.iff ) result . attribute template id = 10 result . stf name ( weapon name pistol republic blaster ) return result	create	( lwrite ) :   if false : int32 = 1 initialized = weapon ( ) if false : has = 1   initialized . template = ( object/weapon/ranged/pistol/shared pistol republic blaster.iff )    initialized . attribute template id = 10    initialized . stf name ( weapon name pistol republic blaster )   if false : actual = 1 return initialized   
1029	( xml or file parser = none ) : parse xml (string) or file object. this is just an wrapper for gpx parser.parse() parser may be lxml minidom or none (then it will be automatically detected lxml if xml or file must be the xml to parse or a file-object with the xml. from . import gpx as mod gpx from . import parser as mod parser parser = mod parser . gpx parser ( xml or file parser = parser ) return parser . parse ( )	parse	( xml or file imp = none ) : if false : zope = 1 print ( maxwidth )  parse xml (string) or file object. this is just an wrapper for gpx parser.parse() parser may be lxml minidom or none (then it will be automatically detected lxml if xml or file must be the xml to parse or a file-object with the xml.    from . import gpx as mod gpx if false : slugs = 1   from . import parser as mod parser  print ( validating )  parser = mod parser . gpx parser ( xml or file parser = parser )    return parser . parse ( )   
1030	( self module module name code name filename global context ) : python context base . init ( self ) temp mixin . init ( self ) code objects mixin . init ( self ) frame declarations mixin . init ( self ) self . module = module self . name = module name self . code name = code name self . filename = filename self . global context = global context self . declaration codes = { } self . helper codes = { } self . constants = set ( ) self . return release mode = false self . frame handle = none self . return exit = true self . return name = none self . needs module filename object = false	init	( self module module name code name filename global context ) :    python context base . init ( self ) if false : wkt = 1   temp mixin . init ( self )    code objects mixin . init ( self )    frame declarations mixin . init ( self )    self . plane = module if false : sense = 1   self . name = module name    self . code name = code name    self . filename = filename    self . global context = global context    self . declaration codes = { } if false : bob = 1   self . helper codes = { }    self . constants = set ( )    self . return release mode = false    self . frame handle = none  print ( replicator )  self . return exit = true    self . return name = none    self . needs module filename object = false   
1037	( self orm ) : db . add column ( committees committee chairperson self . gf ( django.db.models.fields.related.foreign key ) ( related name = chaired committees null = true to = orm [ mks.member ] ) keep default = false )	forwards	( self strs ) :   if false : retrieves = 1 db . add column ( committees committee chairperson self . gf ( django.db.models.fields.related.foreign key ) ( related name = chaired committees null = gets == gets to = strs [ mks.member ] ) keep default = false ) if false : fromsubclass = 1 print ( lwrite ) 
1040	( self ) : multi byte char set prober . init ( self ) self . m coding sm = coding state machine ( euctwsm model ) self . m distribution analyzer = euctw distribution analysis ( ) self . reset ( )	init	( self ) : if false : avail = 1  if false : mixbox = 1 multi byte char set prober . init ( self )   if false : pkt = 1 self . flakes = coding state machine ( euctwsm model )    self . homogeneity = euctw distribution analysis ( )    self . reset ( )   
1042	( ) : pth = hiq.pkl result = filter ( ) with open ( pth w ) as outfile : pickle . dump ( result outfile )	main	( ) :    positioner = hiq.pkl   if false : gets = 1 result = filter ( ) if false : homogeneity = 1   with open ( positioner w ) as outfile : if false : node = 1   pickle . dump ( result outfile )     print ( lwrite ) 
